		ENRC1	ENRC2	ENRC3	ENRI1	ENRI2	ENRI3
Gene: Cyp2d26	Type_Where: Enterocyte_villi	20.3452	19.6833	19.7184	30.1378	29.9633	30.0025
Gene: Ace2	Type_Where: Enterocyte_villi	18.3686	19.5524	20.0374	29.8355	29.7959	29.8396
Gene: Enpep	Type_Where: Enterocyte_villi	21.1083	21.425	20.1361	30.5118	30.1065	30.4384
Gene: Cyp3a25	Type_Where: Enterocyte_villi	20.4145	18.6371	18.6773	27.1598	27.0172	26.9122
Gene: Slc3a1	Type_Where: Enterocyte_villi	19.6879	20.1248	20.6113	28.1684	28.4474	28.6926
Gene: Apoa1	Type_Where: Enterocyte_villi	22.5092	21.1536	21.8322	30.2651	29.7197	29.9063
Gene: Aoc1	Type_Where: Enterocyte_villi	22.4373	22.2336	22.1538	29.85	29.8011	29.9955
Gene: Ugt2b17	Type_Where: Enterocyte_villi	23.2811	23.6136	23.5968	30.898	30.8244	30.8169
Gene: Mme	Type_Where: Enterocyte_villi	23.7181	23.5816	23.6259	30.7293	30.7838	30.7449
Gene: Dhrs11	Type_Where: Enterocyte_villi	21.4387	21.5631	21.036	28.3266	28.3977	28.5058
Gene: Khk	Type_Where: Enterocyte_villi	21.4749	21.3885	21.6147	28.3006	28.3289	28.7996
Gene: Arg2	Type_Where: Enterocyte_villi	24.472	24.3012	24.1096	31.0596	31.2051	31.0458
Gene: Slc26a6	Type_Where: Enterocyte_villi	20.9026	21.5993	20.1918	27.4558	27.389	27.5876
Gene: Pbld2	Type_Where: Enterocyte_villi	22.6681	22.3341	22.8965	29.1935	29.2204	29.2475
